Country,Period,Sex,Value
Bosnia and Herzegovina,2022,Female,46.61
Bosnia and Herzegovina,2022,Both sexes,56.86
Bosnia and Herzegovina,2022,Male,66.6
Botswana,2022,Male,27.4
Botswana,2022,Both sexes,41.99
Botswana,2022,Female,55.06
Brazil,2022,Male,61.42
Brazil,2022,Both sexes,63
Brazil,2022,Female,64.38
Brunei Darussalam,2022,Male,69.55
Brunei Darussalam,2022,Both sexes,69.63
Brunei Darussalam,2022,Female,69.74
Bulgaria,2022,Female,42.29
Bulgaria,2022,Both sexes,51.95
Bulgaria,2022,Male,61.03
Burkina Faso,2022,Male,17.4
Burkina Faso,2022,Both sexes,21.7
Burkina Faso,2022,Female,25.82
Burundi,2022,Female,11.82
Burundi,2022,Both sexes,16.31
Burundi,2022,Male,21.33
Cabo Verde,2022,Male,37.33
Cabo Verde,2022,Both sexes,46.69
Cabo Verde,2022,Female,55.83
Cambodia,2022,Male,21.13
Cambodia,2022,Both sexes,25.14
Cambodia,2022,Female,29.04
Cameroon,2022,Male,32.3
Cameroon,2022,Both sexes,39.47
Cameroon,2022,Female,46.49
Canada,2022,Female,53.6
Canada,2022,Both sexes,59.15
Canada,2022,Male,64.71
Central African Republic,2022,Male,17.94
Central African Republic,2022,Both sexes,23.67
Central African Republic,2022,Female,29.16
Chad,2022,Female,20.1
Chad,2022,Both sexes,21.43
Chad,2022,Male,22.95
Chile,2022,Male,78.53
Chile,2022,Both sexes,78.79
Chile,2022,Female,78.98
China,2022,Female,31.58
China,2022,Both sexes,37.46
China,2022,Male,42.73
Colombia,2022,Male,56.33
Colombia,2022,Both sexes,59.72
Colombia,2022,Female,62.91
Comoros,2022,Male,30.94
Comoros,2022,Both sexes,42.88
Comoros,2022,Female,54.91
Congo,2022,Male,14.82
Congo,2022,Both sexes,24.16
Congo,2022,Female,33.2
Cook Islands,2022,Male,86.06
Cook Islands,2022,Both sexes,88.29
Cook Islands,2022,Female,90.13
Costa Rica,2022,Male,61.41
Costa Rica,2022,Both sexes,66.94
Costa Rica,2022,Female,72.34
Cote d'Ivoire,2022,Male,29.65
Cote d'Ivoire,2022,Both sexes,34.54
Cote d'Ivoire,2022,Female,39.58
Croatia,2022,Female,56.23
Croatia,2022,Both sexes,64.22
Croatia,2022,Male,71.64
Cuba,2022,Male,52.86
Cuba,2022,Both sexes,55.56
Cuba,2022,Female,58.13
Cyprus,2022,Female,45.57
Cyprus,2022,Both sexes,53.82
Cyprus,2022,Male,61.82
Czechia,2022,Female,50.2
Czechia,2022,Both sexes,59.54
Czechia,2022,Male,68.36
Democratic People's Republic of Korea,2022,Male,33.26
Democratic People's Republic of Korea,2022,Both sexes,37.01
Democratic People's Republic of Korea,2022,Female,40.75
Democratic Republic of the Congo,2022,Male,16.03
Democratic Republic of the Congo,2022,Both sexes,21.79
Democratic Republic of the Congo,2022,Female,27.37
Denmark,2022,Female,35.56
Denmark,2022,Both sexes,44.91
Denmark,2022,Male,54.26
Djibouti,2022,Male,21.35
Djibouti,2022,Both sexes,29.77
Djibouti,2022,Female,37.87
Dominica,2022,Male,42.35
Dominica,2022,Both sexes,59.01
Dominica,2022,Female,75.4
Dominican Republic,2022,Male,57.26
Dominican Republic,2022,Both sexes,63.31
Dominican Republic,2022,Female,69.31
Ecuador,2022,Male,63.92
Ecuador,2022,Both sexes,66.75
Ecuador,2022,Female,69.43
Egypt,2022,Male,64.82
Egypt,2022,Both sexes,73.35
Egypt,2022,Female,81.89
El Salvador,2022,Male,60.43
El Salvador,2022,Both sexes,66.17
El Salvador,2022,Female,71.02
Equatorial Guinea,2022,Male,24.13
Equatorial Guinea,2022,Both sexes,39.51
Equatorial Guinea,2022,Female,57.72
Eritrea,2022,Male,13.97
Eritrea,2022,Both sexes,17.21
Eritrea,2022,Female,20.09
Estonia,2022,Female,47.86
Estonia,2022,Both sexes,57.21
Estonia,2022,Male,65.92
Eswatini,2022,Male,40.95
Eswatini,2022,Both sexes,57.14
Eswatini,2022,Female,72.59
Ethiopia,2022,Both sexes,10.87
Ethiopia,2022,Female,14.91
Ethiopia,2022,Male,6.68
Fiji,2022,Male,59.32
Fiji,2022,Both sexes,65.79
Fiji,2022,Female,71.97
Finland,2022,Female,50.01
Finland,2022,Both sexes,55.28
Finland,2022,Male,60.26
France,2022,Female,29.47
France,2022,Both sexes,34.29
France,2022,Male,39.58
French Polynesia,2022,Female,72.01
French Polynesia,2022,Both sexes,73.57
French Polynesia,2022,Male,75.03
Gabon,2022,Male,35.19
Gabon,2022,Both sexes,46.9
Gabon,2022,Female,59.22
Gambia,2022,Male,35.1
Gambia,2022,Both sexes,40.94
Gambia,2022,Female,46.29
Georgia,2022,Female,62.43
Georgia,2022,Both sexes,65.75
Georgia,2022,Male,68.24
Germany,2022,Female,44.87
Germany,2022,Both sexes,53.82
Germany,2022,Male,62.65
Ghana,2022,Male,24.03
Ghana,2022,Both sexes,36.73
Ghana,2022,Female,48.9
Greece,2022,Female,54.7
Greece,2022,Both sexes,61.44
Greece,2022,Male,68.11
Greenland,2022,Male,56.42
Greenland,2022,Both sexes,58.98
Greenland,2022,Female,61.64
Grenada,2022,Male,49.21
Grenada,2022,Both sexes,59.93
Grenada,2022,Female,70.62
Guatemala,2022,Male,59.07
Guatemala,2022,Both sexes,63.22
Guatemala,2022,Female,66.98
Guinea,2022,Male,22.03
Guinea,2022,Both sexes,28.55
Guinea,2022,Female,34.45
Guinea-Bissau,2022,Male,25.92
Guinea-Bissau,2022,Both sexes,32.12
Guinea-Bissau,2022,Female,37.69
Guyana,2022,Male,45.35
Guyana,2022,Both sexes,56.42
Guyana,2022,Female,66.51
Haiti,2022,Male,21.01
Haiti,2022,Both sexes,29.88
Haiti,2022,Female,38.38
Honduras,2022,Male,58.03
Honduras,2022,Both sexes,63.76
Honduras,2022,Female,69.4
Hungary,2022,Female,53.17
Hungary,2022,Both sexes,62.17
Hungary,2022,Male,70.95
Iceland,2022,Female,48.16
Iceland,2022,Both sexes,57.37
Iceland,2022,Male,65.91
India,2022,Male,27.42
India,2022,Both sexes,29.48
India,2022,Female,31.58
Indonesia,2022,Male,28.41
Indonesia,2022,Both sexes,38.08
Indonesia,2022,Female,47.77
Iran (Islamic Republic of),2022,Male,55.69
Iran (Islamic Republic of),2022,Both sexes,60.38
Iran (Islamic Republic of),2022,Female,65.04
Iraq,2022,Male,68.36
Iraq,2022,Both sexes,73.25
Iraq,2022,Female,77.91
Ireland,2022,Female,60.74
Ireland,2022,Both sexes,64.74
Ireland,2022,Male,68.91
Israel,2022,Female,47.99
Israel,2022,Both sexes,54.34
Israel,2022,Male,60.67
Italy,2022,Female,41.84
Italy,2022,Both sexes,49.15
Italy,2022,Male,56.4
Jamaica,2022,Male,47.22
Jamaica,2022,Both sexes,61.09
Jamaica,2022,Female,74.38
Japan,2022,Female,15.55
Japan,2022,Both sexes,24.04
Japan,2022,Male,32.3
Jordan,2022,Male,66.55
Jordan,2022,Both sexes,69.85
Jordan,2022,Female,73.39
Kazakhstan,2022,Female,48.4
Kazakhstan,2022,Both sexes,53.13
Kazakhstan,2022,Male,57.48
Kenya,2022,Male,21.96
Kenya,2022,Both sexes,33.71
Kenya,2022,Female,45.09
Kiribati,2022,Male,74.4
Kiribati,2022,Both sexes,79.14
Kiribati,2022,Female,83.3
Kuwait,2022,Both sexes,77.75
Kuwait,2022,Female,77.87
Kuwait,2022,Male,78.42
Kyrgyzstan,2022,Male,55.9
Kyrgyzstan,2022,Both sexes,58.12
Kyrgyzstan,2022,Female,59.4
Lao People's Democratic Republic,2022,Male,27.52
Lao People's Democratic Republic,2022,Both sexes,31.02
Lao People's Democratic Republic,2022,Female,34.54
Latvia,2022,Female,50.26
Latvia,2022,Both sexes,59.32
Latvia,2022,Male,67.88
Lebanon,2022,Female,59.33
Lebanon,2022,Both sexes,65.05
Lebanon,2022,Male,71.04
Lesotho,2022,Male,25.9
Lesotho,2022,Both sexes,42.27
Lesotho,2022,Female,57.85
Liberia,2022,Male,30.34
Liberia,2022,Both sexes,37.93
Liberia,2022,Female,45.26
Libya,2022,Male,62.23
Libya,2022,Both sexes,67.61
Libya,2022,Female,72.81
Lithuania,2022,Female,48.63
Lithuania,2022,Both sexes,58.67
Lithuania,2022,Male,67.69
Luxembourg,2022,Female,42.51
Luxembourg,2022,Both sexes,51.52
Luxembourg,2022,Male,60.23
Madagascar,2022,Male,16.53
Madagascar,2022,Both sexes,16.97
Madagascar,2022,Female,17.44
Malawi,2022,Male,15.3
Malawi,2022,Both sexes,24.29
Malawi,2022,Female,32.29
Malaysia,2022,Male,52.02
Malaysia,2022,Both sexes,54.93
Malaysia,2022,Female,57.91
Maldives,2022,Male,47.86
Maldives,2022,Both sexes,52.54
Maldives,2022,Female,59.43
Mali,2022,Male,31.49
Mali,2022,Both sexes,33.29
Mali,2022,Female,35.17
Malta,2022,Female,56.71
Malta,2022,Both sexes,64.66
Malta,2022,Male,71.42
Marshall Islands,2022,Male,68.39
Marshall Islands,2022,Both sexes,73.19
Marshall Islands,2022,Female,77.97
Mauritania,2022,Male,28.46
Mauritania,2022,Both sexes,47.19
Mauritania,2022,Female,64.01
Mauritius,2022,Male,46.55
Mauritius,2022,Both sexes,51.12
Mauritius,2022,Female,55.4
Mexico,2022,Male,71.22
Mexico,2022,Both sexes,73.38
Mexico,2022,Female,75.28
Micronesia (Federated States of),2022,Male,64.67
Micronesia (Federated States of),2022,Both sexes,71.71
Micronesia (Federated States of),2022,Female,78.43
Mongolia,2022,Male,55.58
Mongolia,2022,Both sexes,58.1
Mongolia,2022,Female,60.01
Montenegro,2022,Female,41.74
Montenegro,2022,Both sexes,49.98
Montenegro,2022,Male,58
Morocco,2022,Male,45.78
Morocco,2022,Both sexes,54.95
Morocco,2022,Female,64.13
Mozambique,2022,Male,20.38
Mozambique,2022,Both sexes,27.16
Mozambique,2022,Female,33.17
Myanmar,2022,Male,21.15
Myanmar,2022,Both sexes,27.04
Myanmar,2022,Female,32.76
Namibia,2022,Male,27.08
Namibia,2022,Both sexes,36.52
Namibia,2022,Female,44.78
Nauru,2022,Female,88.48
Nauru,2022,Both sexes,88.84
Nauru,2022,Male,89.03
Nepal,2022,Male,27.08
Nepal,2022,Both sexes,30.9
Nepal,2022,Female,34.15
Netherlands (Kingdom of the),2022,Female,39.54
Netherlands (Kingdom of the),2022,Both sexes,45.93
Netherlands (Kingdom of the),2022,Male,52.31
New Zealand,2022,Female,64.02
New Zealand,2022,Both sexes,67.44
New Zealand,2022,Male,71.02
Nicaragua,2022,Male,62.91
Nicaragua,2022,Both sexes,67.22
Nicaragua,2022,Female,71.24
Niger,2022,Male,13.94
Niger,2022,Both sexes,18
Niger,2022,Female,22.2
Nigeria,2022,Male,27.67
Nigeria,2022,Both sexes,34.27
Nigeria,2022,Female,40.89
Niue,2022,Male,86.98
Niue,2022,Both sexes,88.47
Niue,2022,Female,89.41
North Macedonia,2022,Female,55.43
North Macedonia,2022,Both sexes,61.82
North Macedonia,2022,Male,67.85
Norway,2022,Female,48.45
Norway,2022,Both sexes,57.48
Norway,2022,Male,66.15
"occupied Palestinian territory, including east Jerusalem",2022,Male,63.87
"occupied Palestinian territory, including east Jerusalem",2022,Both sexes,68.8
"occupied Palestinian territory, including east Jerusalem",2022,Female,73.32
Oman,2022,Male,64.87
Oman,2022,Both sexes,66.16
Oman,2022,Female,68.82
Pakistan,2022,Male,52.82
Pakistan,2022,Both sexes,54.82
Pakistan,2022,Female,56.75
Palau,2022,Male,69.71
Palau,2022,Both sexes,71.33
Palau,2022,Female,72.72
Panama,2022,Male,67.16
Panama,2022,Both sexes,71.6
Panama,2022,Female,75.93
Papua New Guinea,2022,Male,46.8
Papua New Guinea,2022,Both sexes,51.36
Papua New Guinea,2022,Female,56.17
Paraguay,2022,Male,66.8
Paraguay,2022,Both sexes,69.11
Paraguay,2022,Female,71.35
Peru,2022,Male,65.46
Peru,2022,Both sexes,68.09
Peru,2022,Female,70.63
Philippines,2022,Male,32.1
Philippines,2022,Both sexes,35
Philippines,2022,Female,37.83
Poland,2022,Female,51.4
Poland,2022,Both sexes,62.74
Poland,2022,Male,73.92
Portugal,2022,Female,49.32
Portugal,2022,Both sexes,54.68
Portugal,2022,Male,60.3
Puerto Rico,2022,Male,71.16
Puerto Rico,2022,Both sexes,73.53
Puerto Rico,2022,Female,75.56
Qatar,2022,Female,76.41
Qatar,2022,Both sexes,76.6
Qatar,2022,Male,76.69
Republic of Korea,2022,Female,24.87
Republic of Korea,2022,Both sexes,35.89
Republic of Korea,2022,Male,45.95
Republic of Moldova,2022,Female,54.18
Republic of Moldova,2022,Both sexes,61.19
Republic of Moldova,2022,Male,67.86
Romania,2022,Female,56.06
Romania,2022,Both sexes,65.08
Romania,2022,Male,73.78
Russian Federation,2022,Female,50.39
Russian Federation,2022,Both sexes,58.76
Russian Federation,2022,Male,66.58
Rwanda,2022,Male,11.48
Rwanda,2022,Both sexes,19.79
Rwanda,2022,Female,27.27
Saint Kitts and Nevis,2022,Male,68.54
Saint Kitts and Nevis,2022,Both sexes,75.46
Saint Kitts and Nevis,2022,Female,81.85
Saint Lucia,2022,Male,48.96
Saint Lucia,2022,Both sexes,62.58
Saint Lucia,2022,Female,75.79
Saint Vincent and the Grenadines,2022,Male,48.18
Saint Vincent and the Grenadines,2022,Both sexes,61.51
Saint Vincent and the Grenadines,2022,Female,75.41
Samoa,2022,Male,83.12
Samoa,2022,Both sexes,87.68
Samoa,2022,Female,92.16
Sao Tome and Principe,2022,Male,32.66
Sao Tome and Principe,2022,Both sexes,42.62
Sao Tome and Principe,2022,Female,52.56
Saudi Arabia,2022,Male,71.24
Saudi Arabia,2022,Both sexes,71.84
Saudi Arabia,2022,Female,73.65
Senegal,2022,Male,18.91
Senegal,2022,Both sexes,30.21
Senegal,2022,Female,40.04
Serbia,2022,Female,40.93
Serbia,2022,Both sexes,54.27
Serbia,2022,Male,67.33
Seychelles,2022,Male,52.83
Seychelles,2022,Both sexes,60.77
Seychelles,2022,Female,69.51
Sierra Leone,2022,Male,13.25
Sierra Leone,2022,Both sexes,22.81
Sierra Leone,2022,Female,32.16
Singapore,2022,Female,33.49
Singapore,2022,Both sexes,40.73
Singapore,2022,Male,47
Slovakia,2022,Female,48.82
Slovakia,2022,Both sexes,60.56
Slovakia,2022,Male,72.01
Slovenia,2022,Female,42.63
Slovenia,2022,Both sexes,54.85
Slovenia,2022,Male,65.85
Solomon Islands,2022,Male,53.42
Solomon Islands,2022,Both sexes,56.93
Solomon Islands,2022,Female,60.49
Somalia,2022,Male,20.61
Somalia,2022,Both sexes,34.86
Somalia,2022,Female,48.5
South Africa,2022,Male,37.23
South Africa,2022,Both sexes,55.05
South Africa,2022,Female,71.28
South Sudan,2022,Male,17.63
South Sudan,2022,Both sexes,24.2
South Sudan,2022,Female,30.24
Spain,2022,Female,39.84
Spain,2022,Both sexes,49.9
Spain,2022,Male,59.93
Sri Lanka,2022,Male,31.11
Sri Lanka,2022,Both sexes,38.78
Sri Lanka,2022,Female,45.43
Sudan,2022,Male,32.08
Sudan,2022,Both sexes,38.92
Sudan,2022,Female,45.38
Suriname,2022,Male,48.63
Suriname,2022,Both sexes,58.12
Suriname,2022,Female,67.2
Sweden,2022,Female,41.11
Sweden,2022,Both sexes,50.55
Sweden,2022,Male,59.62
Switzerland,2022,Female,28.98
Switzerland,2022,Both sexes,40.58
Switzerland,2022,Male,52.17
Syrian Arab Republic,2022,Male,68.99
Syrian Arab Republic,2022,Both sexes,71.11
Syrian Arab Republic,2022,Female,72.98
Tajikistan,2022,Female,57.01
Tajikistan,2022,Both sexes,58.85
Tajikistan,2022,Male,60.55
Thailand,2022,Male,41.41
Thailand,2022,Both sexes,45.68
Thailand,2022,Female,49.54
Timor-Leste,2022,Male,11.56
Timor-Leste,2022,Both sexes,14.37
Timor-Leste,2022,Female,17.33
Togo,2022,Male,21.9
Togo,2022,Both sexes,31
Togo,2022,Female,40.01
Tokelau,2022,Male,88.36
Tokelau,2022,Both sexes,90.2
Tokelau,2022,Female,91.81
Tonga,2022,Male,86.41
Tonga,2022,Both sexes,90.39
Tonga,2022,Female,93.96
Trinidad and Tobago,2022,Male,53
Trinidad and Tobago,2022,Both sexes,57.67
Trinidad and Tobago,2022,Female,62
Turkiye,2022,Male,65.15
Turkiye,2022,Both sexes,67.57
Turkiye,2022,Female,69.71
Tunisia,2022,Male,50.98
Tunisia,2022,Both sexes,57.37
Tunisia,2022,Female,63.29
Turkmenistan,2022,Female,54.13
Turkmenistan,2022,Both sexes,56.98
Turkmenistan,2022,Male,59.71
Tuvalu,2022,Male,82.52
Tuvalu,2022,Both sexes,85.77
Tuvalu,2022,Female,88.8
Uganda,2022,Male,15.52
Uganda,2022,Both sexes,23.75
Uganda,2022,Female,31.23
Ukraine,2022,Female,53.88
Ukraine,2022,Both sexes,56.13
Ukraine,2022,Male,57.79
United Arab Emirates,2022,Female,69.71
United Arab Emirates,2022,Both sexes,71.33
United Arab Emirates,2022,Male,71.79
United Kingdom of Great Britain and Northern Ireland,2022,Female,57.52
United Kingdom of Great Britain and Northern Ireland,2022,Both sexes,61.42
United Kingdom of Great Britain and Northern Ireland,2022,Male,65.47
United Republic of Tanzania,2022,Male,23.13
United Republic of Tanzania,2022,Both sexes,32.24
United Republic of Tanzania,2022,Female,40.79
United States of America,2022,Female,70.25
United States of America,2022,Both sexes,72.43
United States of America,2022,Male,74.71
Uruguay,2022,Female,65.02
Uruguay,2022,Both sexes,67.59
Uruguay,2022,Male,70.11
Uzbekistan,2022,Male,60.57
Uzbekistan,2022,Both sexes,62.46
Uzbekistan,2022,Female,63.89
Vanuatu,2022,Male,45.47
Vanuatu,2022,Both sexes,51.32
Vanuatu,2022,Female,57.05
Venezuela (Bolivarian Republic of),2022,Male,52.66
Venezuela (Bolivarian Republic of),2022,Both sexes,53.48
Venezuela (Bolivarian Republic of),2022,Female,53.84
Viet Nam,2022,Female,17.5
Viet Nam,2022,Both sexes,18.21
Viet Nam,2022,Male,18.66
Yemen,2022,Male,33.02
Yemen,2022,Both sexes,37.34
Yemen,2022,Female,41.52
Zambia,2022,Male,20.34
Zambia,2022,Both sexes,29.9
Zambia,2022,Female,38.48
Zimbabwe,2022,Male,19.58
Zimbabwe,2022,Both sexes,34.46
Zimbabwe,2022,Female,46.17
