Country,Period,Sex,Value
Israel,2022,Male,24.11
Israel,2022,Both sexes,26.56
Israel,2022,Female,28.96
Italy,2022,Male,36.41
Italy,2022,Both sexes,40.09
Italy,2022,Female,43.76
Jamaica,2022,Male,31.29
Jamaica,2022,Both sexes,38.61
Jamaica,2022,Female,45.75
Japan,2022,Male,39.96
Japan,2022,Both sexes,44.75
Japan,2022,Female,49.52
Jordan,2022,Female,26.12
Jordan,2022,Both sexes,28.23
Jordan,2022,Male,30.02
Kazakhstan,2022,Female,27.72
Kazakhstan,2022,Both sexes,28.23
Kazakhstan,2022,Male,28.7
Kenya,2022,Male,8.47
Kenya,2022,Both sexes,8.92
Kenya,2022,Female,9.31
Kiribati,2022,Male,21.24
Kiribati,2022,Both sexes,31.9
Kiribati,2022,Female,41.14
Kuwait,2022,Male,61.74
Kuwait,2022,Both sexes,63.32
Kuwait,2022,Female,65.14
Kyrgyzstan,2022,Male,17.33
Kyrgyzstan,2022,Both sexes,19.87
Kyrgyzstan,2022,Female,22.02
Lao People's Democratic Republic,2022,Both sexes,15.84
Lao People's Democratic Republic,2022,Female,22.35
Lao People's Democratic Republic,2022,Male,9.08
Latvia,2022,Female,13.68
Latvia,2022,Both sexes,14.49
Latvia,2022,Male,15.42
Lebanon,2022,Male,57.84
Lebanon,2022,Both sexes,58.62
Lebanon,2022,Female,59.42
Lesotho,2022,Female,7.42
Lesotho,2022,Both sexes,7.98
Lesotho,2022,Male,8.62
Liberia,2022,Male,13.6
Liberia,2022,Both sexes,14.58
Liberia,2022,Female,15.51
Libya,2022,Male,37.48
Libya,2022,Both sexes,45.56
Libya,2022,Female,53.59
Lithuania,2022,Female,19.78
Lithuania,2022,Both sexes,20.23
Lithuania,2022,Male,20.75
Luxembourg,2022,Female,13.9
Luxembourg,2022,Male,13.91
Luxembourg,2022,Both sexes,13.92
Madagascar,2022,Male,12.55
Madagascar,2022,Both sexes,13.59
Madagascar,2022,Female,14.6
Malawi,2022,Male,2.39
Malawi,2022,Both sexes,2.7
Malawi,2022,Female,2.94
Malaysia,2022,Male,37.4
Malaysia,2022,Both sexes,39.9
Malaysia,2022,Female,42.41
Maldives,2022,Female,23.5
Maldives,2022,Both sexes,24.62
Maldives,2022,Male,25.31
Mali,2022,Male,25.86
Mali,2022,Both sexes,29.82
Mali,2022,Female,33.76
Malta,2022,Male,37.77
Malta,2022,Both sexes,40.71
Malta,2022,Female,44.05
Marshall Islands,2022,Male,16.89
Marshall Islands,2022,Both sexes,24.38
Marshall Islands,2022,Female,31.95
Mauritania,2022,Male,30.48
Mauritania,2022,Both sexes,38.52
Mauritania,2022,Female,45.81
Mauritius,2022,Male,24.86
Mauritius,2022,Both sexes,29.88
Mauritius,2022,Female,34.72
Mexico,2022,Male,25.31
Mexico,2022,Both sexes,27.99
Mexico,2022,Female,30.51
Micronesia (Federated States of),2022,Male,22.94
Micronesia (Federated States of),2022,Both sexes,29.31
Micronesia (Federated States of),2022,Female,35.56
Mongolia,2022,Male,25.83
Mongolia,2022,Both sexes,27.46
Mongolia,2022,Female,28.83
Montenegro,2022,Male,21.57
Montenegro,2022,Both sexes,22.75
Montenegro,2022,Female,23.91
Morocco,2022,Male,19.84
Morocco,2022,Both sexes,24.51
Morocco,2022,Female,29.05
Mozambique,2022,Female,10.96
Mozambique,2022,Male,8.2
Mozambique,2022,Both sexes,9.68
Myanmar,2022,Male,20.12
Myanmar,2022,Both sexes,22
Myanmar,2022,Female,23.63
Namibia,2022,Male,20.99
Namibia,2022,Both sexes,25.38
Namibia,2022,Female,29.13
Nauru,2022,Male,27.84
Nauru,2022,Both sexes,35.45
Nauru,2022,Female,42.84
Nepal,2022,Male,10.45
Nepal,2022,Female,6.35
Nepal,2022,Both sexes,8.23
Netherlands (Kingdom of the),2022,Female,10.71
Netherlands (Kingdom of the),2022,Male,8.07
Netherlands (Kingdom of the),2022,Both sexes,9.41
New Zealand,2022,Male,17.84
New Zealand,2022,Both sexes,18.68
New Zealand,2022,Female,19.51
Nicaragua,2022,Male,32.89
Nicaragua,2022,Both sexes,38.75
Nicaragua,2022,Female,44.27
Niger,2022,Male,12.98
Niger,2022,Both sexes,16.2
Niger,2022,Female,19.35
Nigeria,2022,Male,15.54
Nigeria,2022,Both sexes,18.05
Nigeria,2022,Female,20.56
Niue,2022,Male,6.33
Niue,2022,Both sexes,7.36
Niue,2022,Female,8.07
North Macedonia,2022,Male,20.53
North Macedonia,2022,Both sexes,26.1
North Macedonia,2022,Female,31.63
Norway,2022,Male,31.85
Norway,2022,Both sexes,35.12
Norway,2022,Female,38.47
"occupied Palestinian territory, including east Jerusalem",2022,Male,26.06
"occupied Palestinian territory, including east Jerusalem",2022,Both sexes,29.7
"occupied Palestinian territory, including east Jerusalem",2022,Female,33.07
Oman,2022,Male,34.99
Oman,2022,Both sexes,40.88
Oman,2022,Female,50.43
Pakistan,2022,Male,34.14
Pakistan,2022,Both sexes,45.65
Pakistan,2022,Female,57.01
Palau,2022,Male,16.58
Palau,2022,Both sexes,25.96
Palau,2022,Female,35.97
Panama,2022,Male,48.34
Panama,2022,Both sexes,57.64
Panama,2022,Female,66.86
Papua New Guinea,2022,Both sexes,12.47
Papua New Guinea,2022,Female,17
Papua New Guinea,2022,Male,8.16
Paraguay,2022,Male,32.13
Paraguay,2022,Both sexes,35.96
Paraguay,2022,Female,39.76
Peru,2022,Male,31.98
Peru,2022,Both sexes,34.47
Peru,2022,Female,36.87
Philippines,2022,Male,35.82
Philippines,2022,Both sexes,45.46
Philippines,2022,Female,55.01
Poland,2022,Male,35.95
Poland,2022,Both sexes,36.97
Poland,2022,Female,37.95
Portugal,2022,Male,45.99
Portugal,2022,Both sexes,51.65
Portugal,2022,Female,56.94
Puerto Rico,2022,Male,36.65
Puerto Rico,2022,Both sexes,41.55
Puerto Rico,2022,Female,46.03
Qatar,2022,Male,50.27
Qatar,2022,Both sexes,53.48
Qatar,2022,Female,63.19
Republic of Korea,2022,Male,55.92
Republic of Korea,2022,Both sexes,58.06
Republic of Korea,2022,Female,60.28
Republic of Moldova,2022,Both sexes,10.77
Republic of Moldova,2022,Male,12.12
Republic of Moldova,2022,Female,9.62
Romania,2022,Female,36.58
Romania,2022,Both sexes,36.76
Romania,2022,Male,36.96
Russian Federation,2022,Male,18.09
Russian Federation,2022,Both sexes,18.11
Russian Federation,2022,Female,18.17
Rwanda,2022,Female,10.07
Rwanda,2022,Male,7.67
Rwanda,2022,Both sexes,8.97
Saint Kitts and Nevis,2022,Male,34.08
Saint Kitts and Nevis,2022,Both sexes,41.69
Saint Kitts and Nevis,2022,Female,48.68
Saint Lucia,2022,Male,17.81
Saint Lucia,2022,Both sexes,20.95
Saint Lucia,2022,Female,23.97
Saint Vincent and the Grenadines,2022,Male,21.35
Saint Vincent and the Grenadines,2022,Both sexes,30.46
Saint Vincent and the Grenadines,2022,Female,39.91
Samoa,2022,Both sexes,13.47
Samoa,2022,Female,17.57
Samoa,2022,Male,9.33
San Marino,2022,Male,22.93
San Marino,2022,Both sexes,25.66
San Marino,2022,Female,28.32
Sao Tome and Principe,2022,Male,14.13
Sao Tome and Principe,2022,Both sexes,18.15
Sao Tome and Principe,2022,Female,22.01
Saudi Arabia,2022,Male,46.67
Saudi Arabia,2022,Both sexes,51.54
Saudi Arabia,2022,Female,57.8
Senegal,2022,Male,10.94
Senegal,2022,Both sexes,16.64
Senegal,2022,Female,21.59
Serbia,2022,Male,41.72
Serbia,2022,Both sexes,44.85
Serbia,2022,Female,47.93
Seychelles,2022,Male,19.72
Seychelles,2022,Both sexes,20.44
Seychelles,2022,Female,21.23
Sierra Leone,2022,Both sexes,12.96
Sierra Leone,2022,Female,17.13
Sierra Leone,2022,Male,8.56
Singapore,2022,Female,22.05
Singapore,2022,Both sexes,23.17
Singapore,2022,Male,24.16
Slovakia,2022,Male,22.49
Slovakia,2022,Both sexes,23.3
Slovakia,2022,Female,24.06
Slovenia,2022,Male,18.42
Slovenia,2022,Both sexes,18.97
Slovenia,2022,Female,19.54
Solomon Islands,2022,Male,12.69
Solomon Islands,2022,Both sexes,17.46
Solomon Islands,2022,Female,22.29
Somalia,2022,Male,13.55
Somalia,2022,Both sexes,18.1
Somalia,2022,Female,22.4
South Africa,2022,Male,41.2
South Africa,2022,Both sexes,44.8
South Africa,2022,Female,48.06
South Sudan,2022,Male,13.31
South Sudan,2022,Both sexes,16.26
South Sudan,2022,Female,18.93
Spain,2022,Male,19.41
Spain,2022,Both sexes,21.85
Spain,2022,Female,24.21
Sri Lanka,2022,Male,28.74
Sri Lanka,2022,Both sexes,37.18
Sri Lanka,2022,Female,44.84
Sudan,2022,Male,17.23
Sudan,2022,Both sexes,19.11
Sudan,2022,Female,20.89
Suriname,2022,Male,42.44
Suriname,2022,Both sexes,48.86
Suriname,2022,Female,55.12
Sweden,2022,Female,8.09
Sweden,2022,Both sexes,8.7
Sweden,2022,Male,9.28
Switzerland,2022,Male,17.63
Switzerland,2022,Both sexes,19.03
Switzerland,2022,Female,20.42
Syrian Arab Republic,2022,Male,33.06
Syrian Arab Republic,2022,Both sexes,37.84
Syrian Arab Republic,2022,Female,42.37
Tajikistan,2022,Male,26.27
Tajikistan,2022,Both sexes,35.74
Tajikistan,2022,Female,44.95
Thailand,2022,Male,28.16
Thailand,2022,Both sexes,28.87
Thailand,2022,Female,29.44
Timor-Leste,2022,Male,20.88
Timor-Leste,2022,Both sexes,26.93
Timor-Leste,2022,Female,32.99
Togo,2022,Male,12.18
Togo,2022,Both sexes,14.78
Togo,2022,Female,17.32
Tonga,2022,Male,22.61
Tonga,2022,Both sexes,30.67
Tonga,2022,Female,38.06
Trinidad and Tobago,2022,Male,34.63
Trinidad and Tobago,2022,Both sexes,44.51
Trinidad and Tobago,2022,Female,54.17
Turkiye,2022,Male,35.15
Turkiye,2022,Both sexes,44.39
Turkiye,2022,Female,53.42
Tunisia,2022,Male,28.61
Tunisia,2022,Both sexes,33.36
Tunisia,2022,Female,37.81
Turkmenistan,2022,Male,10.82
Turkmenistan,2022,Both sexes,12.09
Turkmenistan,2022,Female,13.11
Tuvalu,2022,Male,16.21
Tuvalu,2022,Both sexes,24.44
Tuvalu,2022,Female,32.8
Uganda,2022,Female,5.16
Uganda,2022,Both sexes,5.55
Uganda,2022,Male,6.02
Ukraine,2022,Female,12.75
Ukraine,2022,Male,12.81
Ukraine,2022,Both sexes,12.76
United Arab Emirates,2022,Male,63.12
United Arab Emirates,2022,Both sexes,66.14
United Arab Emirates,2022,Female,73.6
United Kingdom of Great Britain and Northern Ireland,2022,Male,18.21
United Kingdom of Great Britain and Northern Ireland,2022,Both sexes,18.98
United Kingdom of Great Britain and Northern Ireland,2022,Female,19.74
United Republic of Tanzania,2022,Female,3.88
United Republic of Tanzania,2022,Both sexes,4.3
United Republic of Tanzania,2022,Male,4.77
United States of America,2022,Male,27.57
United States of America,2022,Both sexes,33.74
United States of America,2022,Female,39.81
Uruguay,2022,Male,30.78
Uruguay,2022,Both sexes,33.84
Uruguay,2022,Female,36.82
Uzbekistan,2022,Male,25.99
Uzbekistan,2022,Both sexes,31.75
Uzbekistan,2022,Female,37.05
Vanuatu,2022,Male,5.81
Vanuatu,2022,Both sexes,7.52
Vanuatu,2022,Female,9.19
Venezuela (Bolivarian Republic of),2022,Male,38.49
Venezuela (Bolivarian Republic of),2022,Both sexes,45.73
Venezuela (Bolivarian Republic of),2022,Female,52.75
Viet Nam,2022,Male,25.62
Viet Nam,2022,Both sexes,30.32
Viet Nam,2022,Female,34.53
Yemen,2022,Male,23.99
Yemen,2022,Both sexes,29.19
Yemen,2022,Female,34.09
Zambia,2022,Both sexes,14.09
Zambia,2022,Female,17.93
Zambia,2022,Male,9.64
Zimbabwe,2022,Male,13.32
Zimbabwe,2022,Both sexes,17.7
Zimbabwe,2022,Female,21.14
